Station,Station Name,Province,Latitude,Longitude,Global Horizontal Irradiance,Diffuse Horizontal Irradiance,DHI%
3050519,BANFF CS,AB,51.19,-115.55,994.3958378970427,506.46527929901424,61.43345874993896
3050778,BOW VALLEY,AB,51.08,-115.07,1026.459938704028,468.63922942206653,58.19515057293361
3053536,JASPER WARDEN,AB,52.93,-118.03,954.4903909874089,487.67218908769604,64.8139245641307
3054843,NORDEGG CS,AB,52.49,-116.04,1004.1012826183105,439.6627598407784,59.025985054198664
3056214,WATERTON PARK GATE,AB,49.13,-113.81,1110.3415438750824,473.0030789531559,56.98462071958051
3057376,WHITECOURT A,AB,54.14,-115.79,962.1741071428571,428.8888392857143,61.91513475303162
3060406,ATMORE AGDM,AB,54.78,-112.82,959.0150561797752,422.2761797752809,61.11185778529204
3060535,BARRHEAD CS,AB,54.09,-114.45,989.6166034367328,423.68623075206426,60.42455130594662
3061975,DAPP AGDM,AB,54.32,-113.95,981.4534286352468,419.7983024346661,60.34356004410162
3062246,EDSON CLIMATE,AB,53.58,-116.45,959.0443305858765,439.51013588772554,63.18221809251187
3062697,FORT MCMURRAY A,AB,56.65,-111.22,894.5910002227668,388.9808420583649,62.19875886175846
3063135,HENDRICKSON CREEK,AB,53.8,-118.45,936.5555555555555,482.7702523240372,64.44778167394277
3063165,HIGH PRAIRIE AGDM,AB,55.4,-116.48,947.3832402234636,413.78212290502796,62.318184946213925
3063686,LAC LA BICHE CLIMATE,AB,54.77,-112.02,972.9950617283951,416.416835016835,60.558346943288164
3064528,MILDRED LAKE,AB,57.04,-111.56,897.506,392.92133333333334,62.22869219732026
3065475,RICH LAKE AGDM,AB,54.5,-111.7,986.2663833594274,406.8624468798926,59.2792437310534
3065995,SLAVE LAKE,AB,55.29,-114.78,930.1741081444918,423.62867399596144,62.72064611464189
3070600,BEAVERLODGE RCS,AB,55.2,-119.4,930.6476868327402,420.1376779359431,63.93850357956874
3072525,FAIRVIEW AGDM,AB,56.08,-118.44,940.9964333481944,424.9687917967008,63.34265279355097
3072655,FORT CHIPEWYAN,AB,58.77,-111.12,869.1208865010074,420.1481978956794,65.30132968655487
3072723,FORT VERMILION,AB,58.38,-116.04,887.95,409.25650224215246,63.203500729851555
3072921,GRANDE PRAIRIE A,AB,55.18,-118.88,934.7639322336157,424.63508693713777,63.884782056067024
3073140,HIGH LEVEL,AB,58.62,-117.17,901.3023255813954,404.07915921288014,61.968615833153514
3074190,MANNING AGDM,AB,56.97,-117.45,917.0161218092253,405.97626511419617,61.95847108879933
3074935,CLEARDALE AGDM,AB,56.31,-119.74,933.1865837405597,418.00955131052865,63.28230122394807
3075041,PEACE RIVER A,AB,56.23,-117.45,952.8962664878158,402.790520903197,60.476543792145364
3075160,PEORIA AGDM,AB,55.62,-118.29,935.8166406424269,429.6306045059112,63.55779189395107
3075488,RED EARTH,AB,56.55,-115.28,915.7428313389026,420.9731316324227,62.871242997658435
3076069,SPIRIT RIVER AUTO STATION,AB,55.69,-119.23,925.4161476868327,430.8683274021352,63.74320394860401
3076680,VALLEYVIEW AGDM,AB,55.1,-117.2,939.1082106202588,417.4868362338242,62.38757606139802
3081680,COLD LAKE A,AB,54.42,-110.23,978.2429968875056,413.1691863050245,59.25781678245734
3016GF0,VEGREVILLE,AB,53.51,-112.1,1011.0918822479929,417.79727921498665,58.52410155908091
301A001,EDMONTON STONY PLAIN CS,AB,53.55,-114.11,998.5706352732119,421.71457130164373,59.66078252758506
301B460,ESTHER 1,AB,51.67,-110.21,1076.2051339285715,428.1279017857143,56.93762938801334
301S001,WAINWRIGHT CFB AIRFIELD 21,AB,52.83,-111.1,1057.643131930301,432.08440823715773,55.86296907132656
30221LG,DRUMHELLER EAST,AB,51.45,-112.68,1051.5559246954597,428.56677740863785,57.3756244530437
3026KNQ,SUNDRE A,AB,51.78,-114.68,1007.9980163103372,432.4824774079788,58.909459713966065
3030QLP,BROOKS,AB,50.56,-111.85,1108.8700288824705,412.8973561430793,54.98790513228504
3051R4R,CROWSNEST,AB,49.63,-114.48,1118.7115553602812,457.29789103690683,54.47862719543146
305MGFF,NAKISKA RIDGETOP,AB,50.94,-115.19,1050.3878134623844,497.4170699516058,57.36004739893861
306GE70,WILLOW CREEK 1,AB,53.39,-118.35,955.8007950530035,501.40017667844523,63.87097082920449
307KPFP,GARDEN RIVER,AB,58.71,-113.87,873.9456983240224,414.64111731843576,64.10782299776054
